fr,en
Produit,Product
Produit d'hébergement,AccommodationProduct
Professionnel de santé,HealthcareProfessional
"Projection, cinéma",ScreeningEvent
Pèlerinage et procession,PilgrimageAndProcession
Quartier,District
Rallye,Rally
Rampe de mise à l'eau,LaunchingRamp
"Randonnée, balade",Rambling
Refuge et gîte d'étape,StopOverOrGroupLodge
Restaurant,Restaurant
Restaurant d'altitude / Restaurant d'alpage,MountainRestaurant
Restaurant gastronomique,GourmetRestaurant
Restauration,FoodEstablishment
"Restauration ambulante, Food truck",StreetFood
Restauration Rapide,FastFoodRestaurant
Rivière ou fleuve,River
Ruines et vestiges,Ruins
Ruisseau,Stream
Récital,Recital
Réparateur de matériel,EquipmentRepairShop
Résidence de tourisme,HolidayResort
Réunion de travail,WorkMeeting
Salle de billard,BilliardRoom
Salle de squash,SquashCourt
"Salle ou terrain de sport, gymnase",Gymnasium
"Salle polyvalente, salle des fêtes",MultiPurposeRoomOrCommunityRoom
Sentier de découverte et d'interprétation,EducationalTrail
Service,Service
Service d'information touristique,TouristInformationCenter
Service pratique,ConvenientService
Site archéologique,ArcheologicalSite
Site culturel,CulturalSite
Site d'affaires,BusinessPlace
Site de défense,DefenceSite
Site et mur d'escalade,ClimbingWall
Site industriel,IndustrialSite
Site naturel,NaturalHeritage
Site religieux,ReligiousSite
"Site sportif, récréatif et de loisirs",SportsAndLeisurePlace
Sommet,Summit
Son,Sound
"Son et lumière, feu d'artifice",VisualArtsEvent
Source,Source
Spectacle,ShowEvent
Spectacle de cirque,CircusEvent
Spectacle de danse,DanceEvent
Spécification d'équipement commun,CommonFeatureSpecification
Spécification d'équipement d'hôtellrie de plein air,CampingAndCaravanningFeatureSpecification
Stade,Stadium
Stage d'initiation,IntroductionCourse
Stage de perfectionnement,DevelopmentCourse
"Stage, atelier",Traineeship
Station de lavage,CarOrBikeWash
Station de montagne,MountainResort
Station ou dépôt de vélo,BikeStationOrDepot
Station thermale,SpaResort
Style architectural,ArchitecturalStyle
Suite,HotelSuite
Synagogue,Synagogue
Séminaire,Seminar
Table d'hôtes,TableHotes
Temple,Temple
Temple bouddhique,BuddhistTemple
Tente,Tent
Terrain de golf,GolfCourse
Terrain park,TerrainPark
Thème,Theme
Thème d'environnement de POI,SpatialEnvironmentTheme
Thème de fête et évènement,EntertainmentAndEventTheme
Thème de parc et jardin,ParkAndGardenTheme
Thème de restauration,FoodEstablishmentTheme
Thème de santé,HealthTheme
Thèmes d’activité et évènements sport et loisirs,SportsTheme
"Théatre, Salle de spectacle",Theater
Tipi,Tipi
Toilettes publiques,PublicLavatories
Tour,Tower
Tourbière,Bog
Train touristique,TouristTrain
Transport,Transport
Transporteur,Transporter
Tremplin,Trampoline
Type d'itinéraire,TourType
Type de cuisine,CuisineCategory
Type de lit,TypeOfBed
Type de mêts,FoodProduct
Téléphérique,CableCarStation
Téléphérique touristique,TourismCableCar
Vallée,Valley
"Vendange, récolte",Harvest
Verger conservatoire,Orchard
Via ferrata,ViaFerrata
Vide-grenier,GarageSale
Vidéo,Video
Ville et village,CityHeritage
Visite,Visit
Vivarium - Aquarium,VivariumAquarium
Voie romaine,RomanPath
Volcan,Volcano
Voyagiste,TourOperatorOrTravelAgency
Vélodrome,Velodrome
Yacht Club,YachtClub
Yourte,Yurt
Zone halophile,HalophilicArea
Zone humide,Wetland
Zone ou port de mouillage,MooringArea
Zoo - parc animalier,ZooAnimalPark
Éleveur,Farmer
Équipement et service,Amenity
Équipement et service basique,CommonAmenity
Équipement et service d'hébergement,AccommodationAmenity
Équipement et service d'hôtellerie de plein air,CampingAndCaravanningAmenity
Équipement et service d'information,InformativeAmenity
Équipement et service de patrimoine culturel,CulturalHeritageAmenity
Équipement et service de patrimoine naturel,NaturalHeritageAmenity
Équipement et service de restauration,CateringAmenity
Évènement culturel,CulturalEvent
Évènement religieux,ReligiousEvent
Évènement sports et loisirs,SportsEvent
